NAME,Id,FPL,layer,theta,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,1,150.4,1993,0.0977,-999.000,0.000,17,3,8,83
NaI1,1,8,1,150.72,2005.5,0.0977,-999.000,0.000,11,1,6,1
NaI2,2,8,1,150.39,2004,0.0977,-999.000,0.000,11,2,6,2
NaI3,3,8,1,150.32,2002.5,0.0977,-999.000,0.000,11,3,6,3
NaI4,4,8,1,150.9,2002.5,0.0977,-645.800,5.445,11,4,6,4
NaI5,5,8,1,150.62,2002.5,0.0977,-999.000,0.000,11,5,6,5
NaI6,6,8,2,144.91,2006.5,0.0977,-999.000,0.000,11,6,6,6
NaI7,7,8,2,144.69,2008,0.0977,-281.840,2.578,11,7,6,7
NaI8,8,8,2,145.25,2002,0.0977,-313.631,2.753,11,8,6,8
NaI9,9,8,2,145.28,2003,0.0977,-330.248,2.934,11,9,6,9
NaI10,10,8,2,145.16,2010,0.0977,-271.300,2.372,11,10,6,10
NaI11,11,8,2,145.49,2003.5,0.0977,-281.509,2.779,11,11,6,11
NaI12,12,8,3,131.48,2003,0.0977,-328.719,2.769,11,12,6,12
NaI13,13,8,3,131.8,2007,0.0977,-383.246,3.098,11,13,6,13
NaI14,14,8,3,131.62,2003,0.0977,-251.566,2.788,11,14,6,14
NaI15,15,8,3,131.15,2003,0.0977,-370.384,2.936,11,15,6,15
NaI16,16,8,3,131.74,2003,0.0977,-333.117,2.749,11,16,6,16
NaI17,17,8,3,131.59,2003,0.0977,-295.600,2.671,11,17,6,17
NaI18,18,8,3,131.29,2003.5,0.0977,-300.169,2.523,11,18,6,18
NaI19,19,8,3,131.31,2004,0.0977,-286.811,2.588,11,19,6,19
NaI20,20,8,4,117.38,2003,0.0977,-291.262,2.850,11,20,6,20
NaI21,21,8,4,117.35,2003,0.0977,-278.505,2.817,11,21,6,21
NaI22,22,8,4,117.34,2005.5,0.0977,-262.886,2.403,11,22,6,22
NaI23,23,8,4,117.36,1991,0.0977,-161.900,1.157,17,4,8,84
NaI24,24,8,4,117.33,2004,0.0977,-230.349,2.781,11,24,6,24
NaI25,25,8,4,117.3,2004,0.0977,-357.298,3.295,11,25,6,25
NaI26,26,8,4,117.17,2004,0.0977,-250.185,2.554,11,26,6,26
NaI27,27,8,4,117.06,2006,0.0977,-242.159,2.633,11,27,6,27
NaI28,28,8,4,117.14,2005,0.0977,-245.959,2.532,11,28,6,28
NaI29,29,8,4,117.5,1988.5,0.0977,-389.708,2.883,17,0,8,80
NaI30,30,8,5,107.16,2005,0.0977,-291.849,2.839,11,30,6,30
NaI31,31,8,5,107.06,2008,0.0977,-199.700,2.627,11,31,6,31
NaI32,32,8,5,107.3,2002,0.0977,-332.575,2.897,12,0,6,32
NaI33,33,8,5,107.15,2001.5,0.0977,-328.742,2.795,12,1,6,33
NaI34,34,8,5,107.22,2001,0.0977,-255.544,2.739,12,2,6,34
NaI35,35,8,5,107.19,2001,0.0977,-284.394,2.902,12,3,6,35
NaI36,36,8,5,107.26,2001.5,0.0977,-359.728,2.810,12,4,6,36
NaI37,37,8,5,107.36,2004,0.0977,-224.022,2.538,12,5,6,37
NaI38,38,8,5,107.24,2004,0.0977,-302.912,2.878,12,6,6,38
NaI39,39,8,5,107.26,2003,0.0977,-999.000,0.000,12,7,6,39
NaI40,40,8,6,95.83,2003.7,0.0977,-265.430,2.850,12,8,6,40
NaI41,41,8,6,95.73,1997,0.0977,-299.838,2.846,12,9,6,41
NaI42,42,8,6,95.89,2004.5,0.0977,-293.272,2.710,12,10,6,42
NaI43,43,8,6,96.07,2004,0.0977,-295.938,2.788,12,11,6,43
NaI44,44,8,6,95.66,2005,0.0977,-276.979,2.522,12,12,6,44
NaI45,45,8,6,95.76,2004.5,0.0977,-308.657,2.985,12,13,6,45
NaI46,46,8,6,95.91,2008,0.0977,-349.428,2.970,12,14,6,46
NaI47,47,8,6,95.84,2006.5,0.0977,-312.870,2.828,12,15,6,47
NaI48,48,8,6,95.77,2003,0.0977,-330.523,3.042,12,16,6,48
NaI49,49,8,6,95.58,1999,0.0977,-273.455,2.524,12,17,6,49
NaI50,50,8,6,95.85,2002,0.0977,-351.954,3.065,12,18,6,50
NaI51,51,8,6,95.94,2003,0.0977,-189.420,2.480,12,19,6,51
NaI52,52,8,7,86.11,2002,0.0977,-386.601,2.909,12,20,6,52
NaI53,53,8,7,86.18,2002.5,0.0977,-256.665,2.762,12,21,6,53
NaI54,54,8,7,86.11,2000,0.0977,-233.532,2.588,12,22,6,54
NaI55,55,8,7,86.21,2003.5,0.0977,-225.890,2.559,12,23,6,55
NaI56,56,8,7,86.32,1999,0.0977,-311.237,3.156,12,24,6,56
